Filename,Rotate value,Scale value,Shift value
hobbit_1_976_0.npz,0.0,1.0,0.0
hobbit_1_976_1.npz,0.008866080749575286,1.0069358243429545,0.005759861132190794
hobbit_1_976_2.npz,-0.2259386368709365,0.997976380821933,-0.010165403227785157
hobbit_1_976_3.npz,1.1279676680359851,1.0147836947261792,0.0019518930497174323
hobbit_1_976_4.npz,0.38979315614624455,0.9945623233214428,-0.0010206577518781367
hobbit_1_977_0.npz,0.0,1.0,0.0
hobbit_1_977_1.npz,1.2932686311534374,0.9920477968742912,-0.004979770402167354
hobbit_1_977_2.npz,2.4955777405796957,0.9971589451977316,0.021886295445028275
hobbit_1_977_3.npz,-0.6615063437628877,1.015107022048418,2.7564752598276622e-05
hobbit_1_977_4.npz,-1.4072759848210628,0.9960569869471668,0.0010493917842069424
hobbit_1_978_0.npz,0.0,1.0,0.0
hobbit_1_978_1.npz,1.6656998451998355,0.9933322742880086,-0.011542248902373443
hobbit_1_978_2.npz,0.36987428172043896,0.9957026967188628,-0.0013695792489168885
hobbit_1_978_3.npz,1.06320263769359,0.9926166442625821,-0.02506712335599651
hobbit_1_978_4.npz,0.9383790639043662,0.9948356364355526,-0.0060638366906930145
hobbit_1_979_0.npz,0.0,1.0,0.0
hobbit_1_979_1.npz,-0.2503340232181675,0.9981338632633476,-0.013487845581878159
hobbit_1_979_2.npz,-0.09015331430517076,0.9920341002813208,-0.0048242536766125365
hobbit_1_979_3.npz,0.3557846047071484,1.0189569547588921,0.00047518923251730125
hobbit_1_979_4.npz,-0.2316928468776397,0.996301233605402,-0.00905443806962176
hobbit_1_980_0.npz,0.0,1.0,0.0
hobbit_1_980_1.npz,-0.9682432655469144,0.9971158963259008,0.00195420991103466
hobbit_1_980_2.npz,-2.0609451806568115,1.013633257995155,-0.009703947255275274
hobbit_1_980_3.npz,1.3072854308967683,1.0163440177978142,0.019920518010933443
hobbit_1_980_4.npz,-0.7394707345647258,1.0043417075513583,-0.005800013921593367
hobbit_1_981_0.npz,0.0,1.0,0.0
hobbit_1_981_1.npz,0.3398616108066135,1.0085012704159528,-0.02248044512116936
hobbit_1_981_2.npz,-0.1508872692565974,1.015138771397983,-0.011403887897005516
hobbit_1_981_3.npz,-0.8399294218601081,1.0075339698827082,0.002410952108922722
hobbit_1_981_4.npz,0.7828210362452572,0.9908396269238384,-0.005915036895623724
hobbit_1_982_0.npz,0.0,1.0,0.0
hobbit_1_982_1.npz,-0.7010636807913824,0.9984254803303584,-0.004253698178242545
hobbit_1_982_2.npz,-0.29044665285009985,1.0089807843978147,-0.004207331091275371
hobbit_1_982_3.npz,-0.9650108349495524,0.99342703855779,-0.0026011965207497823
hobbit_1_982_4.npz,0.13232917564690344,0.9968277247297059,-0.014326904641178284
hobbit_1_983_0.npz,0.0,1.0,0.0
hobbit_1_983_1.npz,-0.09803770775258924,1.0030447482250098,-0.013072530286514145
hobbit_1_983_2.npz,-1.2957353873169732,1.0049670368967183,0.017361407766974594
hobbit_1_983_3.npz,-0.21651356527813626,1.0034315241128091,0.0012583209375066212
hobbit_1_983_4.npz,0.8883473717271142,0.9906672600353084,0.01868868309446652
hobbit_1_986_0.npz,0.0,1.0,0.0
hobbit_1_986_1.npz,0.4621114480760634,0.996781251668252,0.0034986745174829326
